"Issuer","IIN","Format","Type","Country","Scheme"
"visa_issued","448523","4485 23XX XXXX XXXX","CREDIT","South Korea","Visa"
"visa_issued","459907","4599 07XX XXXX XXXX","CREDIT","South Korea","Visa"
"visa_issued","403149","4031 49XX XXXX XXXX","CREDIT","Malaysia","Visa"
"visa_issued","414170","4141 70XX XXXX XXXX","CREDIT","Malaysia","Visa"
"visa_issued","437766","4377 66XX XXXX XXXX","CREDIT","Malaysia","Visa"
"visa_issued","402318","4023 18XX XXXX XXXX","CREDIT","Mexico","Visa"
"visa_issued","406130","4061 30XX XXXX XXXX","CREDIT","Mexico","Visa"
"visa_issued","410852","4108 52XX XXXX XXXX","CREDIT","Mexico","Visa"
"visa_issued","428575","4285 75XX XXXX XXXX","CREDIT","Mexico","Visa"
"visa_issued","450589","4505 89XX XXXX XXXX","DEBIT","Mexico","Visa"
"visa_issued","453967","4539 67XX XXXX XXXX","DEBIT","Peru","Visa"
"visa_issued","457032","4570 32XX XXXX XXXX","CREDIT","Peru","Visa"
"visa_issued","491607","4916 07XX XXXX XXXX","CREDIT","Peru","Visa"
"visa_issued","416511","4165 11XX XXXX XXXX","DEBIT","Philippines","Visa"
"visa_issued","424671","4246 71XX XXXX XXXX","DEBIT","Poland","Visa"
"visa_issued","444444","4444 44XX XXXX XXXX","CREDIT","Poland","Visa"
"visa_issued","489407","4894 07XX XXXX XXXX","CREDIT","Poland","Visa"
"visa_issued","455658","4556 58XX XXXX XXXX","DEBIT","Portugal","Visa"
"visa_issued","408597","4085 97XX XXXX XXXX","CREDIT","Qatar","Visa"
"visa_issued","409636","4096 36XX XXXX XXXX","DEBIT","Singapore","Visa"
"visa_issued","418238","4182 38XX XXXX XXXX","DEBIT","Singapore","Visa"
"visa_issued","462845","4628 45XX XXXX XXXX","DEBIT","Singapore","Visa"
"visa_issued","453201","4532 01XX XXXX XXXX","CREDIT","Spain","Visa"
"visa_issued","455656","4556 56XX XXXX XXXX","CREDIT","Spain","Visa"
"visa_issued","448574","4485 74XX XXXX XXXX","CREDIT","Switzerland","Visa"
"visa_issued","452110","4521 10XX XXXX XXXX","CREDIT","Trinidad and Tobago","Visa"
"visa_issued","412345","4123 45XX XXXX XXXX","CREDIT","Turkey","Visa"
"visa_issued","455645","4556 45XX XXXX XXXX","CREDIT","Turkey","Visa"
"visa_issued","455652","4556 52XX XXXX XXXX","DEBIT","Turkey","Visa"
"visa_issued","476248","4762 48XX XXXX XXXX","DEBIT","United Kingdom","Visa"
"visa_issued","491601","4916 01XX XXXX XXXX","CREDIT","United Kingdom","Visa"
"visa_issued","492916","4929 16XX XXXX XXXX","CREDIT","United Kingdom","Visa"
"visa_issued","492925","4929 25XX XXXX XXXX","CREDIT","United Kingdom","Visa"
"visa_issued","492934","4929 34XX XXXX XXXX","CREDIT","United Kingdom","Visa"
"visa_issued","492953","4929 53XX XXXX XXXX","CREDIT","United Kingdom","Visa"
"visa_issued","492962","4929 62XX XXXX XXXX","CREDIT","United Kingdom","Visa"
"visa_issued","492976","4929 76XX XXXX XXXX","CREDIT","United Kingdom","Visa"
"visa_issued","492980","4929 80XX XXXX XXXX","CREDIT","United Kingdom","Visa"
"visa_issued","492992","4929 92XX XXXX XXXX","CREDIT","United Kingdom","Visa"
"visa_issued","498752","4987 52XX XXXX XXXX","DEBIT","United Kingdom","Visa"
"visa_issued","401940","4019 40XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","402707","4027 07XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","402826","4028 26XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","404389","4043 89XX XXXX XXXX","DEBIT","United States","Visa"
"visa_issued","406043","4060 43XX XXXX XXXX","DEBIT","United States","Visa"
"visa_issued","410791","4107 91XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","413753","4137 53XX XXXX XXXX","DEBIT","United States","Visa"
"visa_issued","414382","4143 82XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","420206","4202 06XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","420785","4207 85XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","420992","4209 92XX XXXX XXXX","DEBIT","United States","Visa"
"visa_issued","431371","4313 71XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","435921","4359 21XX XXXX XXXX","DEBIT","United States","Visa"
"visa_issued","440168","4401 68XX XXXX XXXX","DEBIT","United States","Visa"
"visa_issued","442959","4429 59XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","448507","4485 07XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","453236","4532 36XX XXXX XXXX","DEBIT","United States","Visa"
"visa_issued","453241","4532 41XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","453249","4532 49XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","453296","4532 96XX XXXX XXXX","DEBIT","United States","Visa"
"visa_issued","454484","4544 84XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","463564","4635 64XX XXXX XXXX","DEBIT","United States","Visa"
"visa_issued","463997","4639 97XX XXXX XXXX","DEBIT","United States","Visa"
"visa_issued","465355","4653 55XX XXXX XXXX","DEBIT","United States","Visa"
"visa_issued","471627","4716 27XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","471632","4716 32XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","471634","4716 34XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","471662","4716 62XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","471670","4716 70XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","471681","4716 81XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","471684","4716 84XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","473764","4737 64XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","474255","4742 55XX XXXX XXXX","DEBIT","United States","Visa"
"visa_issued","474552","4745 52XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","480228","4802 28XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","486854","4868 54XX XXXX XXXX","DEBIT","United States","Visa"
"visa_issued","491632","4916 32XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","491639","4916 39XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","491681","4916 81XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","491689","4916 89XX XXXX XXXX","DEBIT","United States","Visa"
"visa_issued","493171","4931 71XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","493196","4931 96XX XXXX XXXX","DEBIT","United States","Visa"
"visa_issued","493371","4933 71XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","494939","4949 39XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","495430","4954 30XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","499002","4990 02XX XXXX XXXX","CREDIT","United States","Visa"
"visa_issued","455610-455611","4556 10XX XXXX XXXX","CREDIT","Venezuela","Visa"
"chase","403116","4031 16XX XXXX XXXX","CREDIT","United States","Visa"
"chase","403213","4032 13XX XXXX XXXX","CREDIT","United States","Visa"
"chase","403690","4036 90XX XXXX XXXX","CREDIT","United States","Visa"
"chase","406032","4060 32XX XXXX XXXX","DEBIT","United States","Visa"
"chase","406042","4060 42XX XXXX XXXX","DEBIT","United States","Visa"
"chase","406045","4060 45XX XXXX XXXX","DEBIT","United States","Visa"
"chase","406068","4060 68XX XXXX XXXX","DEBIT","United States","Visa"
"chase","407166","4071 66XX XXXX XXXX","CREDIT","United States","Visa"
"chase","408161","4081 61XX XXXX XXXX","CREDIT","United States","Visa"
"chase","411816","4118 16XX XXXX XXXX","CREDIT","United States","Visa"
"chase","412451","4124 51XX XXXX XXXX","DEBIT","United States","Visa"
"chase","412453","4124 53XX XXXX XXXX","DEBIT","United States","Visa"
"chase","414720","4147 20XX XXXX XXXX","CREDIT","United States","Visa"
"chase","414740","4147 40XX XXXX XXXX","CREDIT","United States","Visa"
"chase","420767","4207 67XX XXXX XXXX","DEBIT","United States","Visa"
"chase","424631","4246 31XX XXXX XXXX","CREDIT","United States","Visa"
"chase","425331","4253 31XX XXXX XXXX","CREDIT","United States","Visa"
"chase","426245","4262 45XX XXXX XXXX","CREDIT","United States","Visa"
"chase","426650-426651","4266 50XX XXXX XXXX","CREDIT","United States","Visa"
"chase","426681","4266 81XX XXXX XXXX","CREDIT","United States","Visa"
"chase","426684","4266 84XX XXXX XXXX","CREDIT","United States","Visa"
"chase","426685","4266 85XX XXXX XXXX","CREDIT","United States","Visa"
"chase","426690","4266 90XX XXXX XXXX","CREDIT","United States","Visa"
"chase","428208","4282 08XX XXXX XXXX","DEBIT","United States","Visa"
"chase","430326","4303 26XX XXXX XXXX","DEBIT","United States","Visa"
"chase","430587","4305 87XX XXXX XXXX","CREDIT","United States","Visa"
"chase","431231","4312 31XX XXXX XXXX","DEBIT","United States","Visa"
"chase","434769","4347 69XX XXXX XXXX","DEBIT","United States","Visa"
"chase","436614","4366 14XX XXXX XXXX","CREDIT","United States","Visa"
"chase","436616","4366 16XX XXXX XXXX","CREDIT","United States","Visa"
"chase","438852","4388 52XX XXXX XXXX","CREDIT","United States","Visa"
"chase","438854","4388 54XX XXXX XXXX","CREDIT","United States","Visa"
"chase","438857","4388 57XX XXXX XXXX","CREDIT","United States","Visa"
"chase","441103-441104","4411 03XX XXXX XXXX","DEBIT","United States","Visa"
"chase","441105","4411 05XX XXXX XXXX","DEBIT","United States","Visa"
"chase","441711","4417 11XX XXXX XXXX","CREDIT","United States","Visa"
"chase","441712","4417 12XX XXXX XXXX","CREDIT","United States","Visa"
"chase","441716","4417 16XX XXXX XXXX","CREDIT","United States","Visa"
"chase","442732","4427 32XX XXXX XXXX","DEBIT","United States","Visa"
"chase","442742","4427 42XX XXXX XXXX","DEBIT","United States","Visa"
"chase","442755-442756","4427 55XX XXXX XXXX","DEBIT","United States","Visa"
"chase","446568","4465 68XX XXXX XXXX","CREDIT","United States","Visa"
"chase","450952","4509 52XX XXXX XXXX","DEBIT","United States","Visa"
"chase","455953","4559 53XX XXXX XXXX","CREDIT","United States","Visa"
"chase","456323","4563 23XX XXXX XXXX","DEBIT","United States","Visa"
"chase","456331","4563 31XX XXXX XXXX","DEBIT","United States","Visa"
"chase","461046","4610 46XX XXXX XXXX","DEBIT","United States","Visa"
"chase","464018","4640 18XX XXXX XXXX","CREDIT","United States","Visa"
"chase","473622","4736 22XX XXXX XXXX","DEBIT","United States","Visa"
"chase","475055","4750 55XX XXXX XXXX","DEBIT","United States","Visa"
"chase","475056","4750 56XX XXXX XXXX","DEBIT","United States","Visa"
"chase","478200","4782 00XX XXXX XXXX","DEBIT","United States","Visa"
"chase","479851","4798 51XX XXXX XXXX","CREDIT","United States","Visa"
"chase","483312-483314","4833 12XX XXXX XXXX","DEBIT","United States","Visa"
"chase","483316","4833 16XX XXXX XXXX","DEBIT","United States","Visa"
"chase","483323","4833 23XX XXXX XXXX","DEBIT","United States","Visa"
"chase","483324","4833 24XX XXXX XXXX","DEBIT","United States","Visa"
"chase","486521","4865 21XX XXXX XXXX","CREDIT","United States","Visa"
"chase","486742","4867 42XX XXXX XXXX","DEBIT","United States","Visa"
"chase","486796","4867 96XX XXXX XXXX","DEBIT","United States","Visa"
"chase","490070","4900 70XX XXXX XXXX","DEBIT","United States","Visa"
"chase","490071","4900 71XX XXXX XXXX","DEBIT","United States","Visa"
"chase","511375","5113 75XX XXXX XXXX","DEBIT","United States","Visa"
"chase","511392","5113 92XX XXXX XXXX","DEBIT","United States","Visa"
"chase","511395","5113 95XX XXXX XXXX","DEBIT","United States","Visa"
"chase","511398","5113 98XX XXXX XXXX","DEBIT","United States","Visa"
"chase","511425","5114 25XX XXXX XXXX","DEBIT","United States","Visa"
"chase","512257","5122 57XX XXXX XXXX","CREDIT","United States","Visa"
"chase","514874","5148 74XX XXXX XXXX","CREDIT","United States","Visa"
"chase","515563","5155 63XX XXXX XXXX","DEBIT","United States","Visa"
"chase","518337","5183 37XX XXXX XXXX","CREDIT","United States","Visa"
"chase","518445","5184 45XX XXXX XXXX","CREDIT","United States","Visa"
"chase","528715","5287 15XX XXXX XXXX","DEBIT","United States","Visa"
"chase","536990","5369 90XX XXXX XXXX","CREDIT","United States","Visa"
"chase","537167","5371 67XX XXXX XXXX","DEBIT","United States","Visa"
"chase","537170","5371 70XX XXXX XXXX","DEBIT","United States","Visa"
"chase","540168","5401 68XX XXXX XXXX","CREDIT","United States","Visa"
"chase","541711","5417 11XX XXXX XXXX","CREDIT","United States","Visa"
"chase","546604","5466 04XX XXXX XXXX","CREDIT","United States","Visa"
"chase","546626","5466 26XX XXXX XXXX","CREDIT","United States","Visa"
"chase","546657","5466 57XX XXXX XXXX","CREDIT","United States","Visa"
"chase","547363","5473 63XX XXXX XXXX","CREDIT","United States","Visa"
"chase","549092","5490 92XX XXXX XXXX","CREDIT","United States","Visa"
"chase","549104","5491 04XX XXXX XXXX","CREDIT","United States","Visa"
"chase","552475","5524 75XX XXXX XXXX","CREDIT","United States","Visa"
"chase","557558","5575 58XX XXXX XXXX","DEBIT","United States","Visa"
"chase","558250","5582 50XX XXXX XXXX","CREDIT","United States","Visa"
"chase","558967","5589 67XX XXXX XXXX","CREDIT","United States","Visa"
"chase","558987","5589 87XX XXXX XXXX","CREDIT","United States","Visa"
"chase","559033","5590 33XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","549191","5491 91XX XXXX XXXX","CREDIT","Canada","Visa"
"bank_of_america","374322","37432 2XXXX XXXXX","CREDIT","United States","Visa"
"bank_of_america","374632","37463 2XXXX XXXXX","CREDIT","United States","Visa"
"bank_of_america","374720","37472 0XXXX XXXXX","CREDIT","United States","Visa"
"bank_of_america","400390","4003 90XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","402400","4024 00XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","403647","4036 47XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","407871","4078 71XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","407892","4078 92XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","411770-411771","4117 70XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","411773-411776","4117 73XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","411777","4117 77XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","413571","4135 71XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","413572","4135 72XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","413574-413575","4135 74XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","413577","4135 77XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","414707","4147 07XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","414734","4147 34XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","414737","4147 37XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","414773","4147 73XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","417008","4170 08XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","425627-425628","4256 27XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","425637","4256 37XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","426428-426429","4264 28XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","426451","4264 51XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","426452","4264 52XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","426465","4264 65XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","430594","4305 94XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","431303","4313 03XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","431307","4313 07XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","431308","4313 08XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","431351","4313 51XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","431352","4313 52XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","432624","4326 24XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","432626","4326 26XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","432628","4326 28XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","432630","4326 30XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","433718","4337 18XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","433993","4339 93XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","435272","4352 72XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","435603","4356 03XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","435619","4356 19XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","435643","4356 43XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","435680","4356 80XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","435685","4356 85XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","435687","4356 87XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","435688","4356 88XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","436802","4368 02XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","442743","4427 43XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","442777","4427 77XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","444395","4443 95XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","447619","4476 19XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","448585","4485 85XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","448813","4488 13XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","453253","4532 53XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","455689","4556 89XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","461691","4616 91XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","463288","4632 88XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","463550-463551","4635 50XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","463552","4635 52XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","463572-463573","4635 72XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","463575-463578","4635 75XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","463580","4635 80XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","463581","4635 81XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","463584-463585","4635 84XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","463588","4635 88XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","463589","4635 89XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","464875","4648 75XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","464880","4648 80XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","470132","4701 32XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","470134","4701 34XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","471529","4715 29XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","471724","4717 24XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","471727","4717 27XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","474472-474475","4744 72XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","474476","4744 76XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","474477-474482","4744 77XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","474484-474489","4744 84XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","480011-480012","4800 11XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","481581-481583","4815 81XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","481588","4815 88XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","484575","4845 75XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","484588","4845 88XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","484594","4845 94XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","488889","4888 89XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","488890","4888 90XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","488893","4888 93XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","488894","4888 94XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","494340","4943 40XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","511560","5115 60XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","517572","5175 72XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","520001","5200 01XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","527513","5275 13XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","527515","5275 15XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","527517","5275 17XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","527518","5275 18XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","527519","5275 19XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","527520","5275 20XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","527523","5275 23XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","531250-531251","5312 50XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","531255","5312 55XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","531257-531260","5312 57XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","531262","5312 62XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","531265","5312 65XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","531266-531267","5312 66XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","532901","5329 01XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","532903","5329 03XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","532905","5329 05XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","532906","5329 06XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","532912","5329 12XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","534869","5348 69XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","534875","5348 75XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","541660","5416 60XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","546632-546634","5466 32XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","547415","5474 15XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","547497","5474 97XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","549033","5490 33XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","549035","5490 35XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","549050","5490 50XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","549170","5491 70XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","552426","5524 26XX XXXX XXXX","CREDIT","United States","Visa"
"bank_of_america","553822","5538 22XX XXXX XXXX","DEBIT","United States","Visa"
"bank_of_america","557268","5572 68XX XXXX XXXX","DEBIT","United States","Visa"
"hsbc","524702","5247 02XX XXXX XXXX","CREDIT","Argentina","Visa"
"hsbc","525489","5254 89XX XXXX XXXX","CREDIT","Argentina","Visa"
"hsbc","458594","4585 94XX XXXX XXXX","DEBIT","Australia","Visa"
"hsbc","422184","4221 84XX XXXX XXXX","DEBIT","Bermuda","Visa"
"hsbc","496696","4966 96XX XXXX XXXX","CREDIT","Bermuda","Visa"
"hsbc","376618","37661 8XXXX XXXXX","CREDIT","Brazil","Visa"
"hsbc","429768","4297 68XX XXXX XXXX","CREDIT","Brazil","Visa"
"hsbc","432032","4320 32XX XXXX XXXX","CREDIT","Brazil","Visa"
"hsbc","440693","4406 93XX XXXX XXXX","CREDIT","Brazil","Visa"
"hsbc","440694","4406 94XX XXXX XXXX","CREDIT","Brazil","Visa"
"hsbc","444660","4446 60XX XXXX XXXX","DEBIT","Brazil","Visa"
"hsbc","444662","4446 62XX XXXX XXXX","DEBIT","Brazil","Visa"
"hsbc","448733","4487 33XX XXXX XXXX","CREDIT","Brazil","Visa"
"hsbc","525925","5259 25XX XXXX XXXX","CREDIT","Brazil","Visa"
"hsbc","548591","5485 91XX XXXX XXXX","CREDIT","Brazil","Visa"
"hsbc","519391","5193 91XX XXXX XXXX","CREDIT","Canada","Visa"
"hsbc","409675","4096 75XX XXXX XXXX","CREDIT","Indonesia","Visa"
"hsbc","454493","4544 93XX XXXX XXXX","CREDIT","Indonesia","Visa"
"hsbc","483575","4835 75XX XXXX XXXX","CREDIT","Indonesia","Visa"
"hsbc","453966","4539 66XX XXXX XXXX","CREDIT","Malaysia","Visa"
"hsbc","462286","4622 86XX XXXX XXXX","CREDIT","Malaysia","Visa"
